Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
Ali Khan,USA,1,1,1,23,1/23,30.0,23.0,4.6,0,0,2019,2019
Aminul Islam jnr,Bangladesh,1,1,1,33,1/33,30.0,33.0,6.6,0,0,1999,1999
Arshad Ali,UAE,4,3,1,105,1/5,102.0,105.0,6.17,0,0,2004,2008
Arshad Laeeq,UAE,6,6,1,198,1/25,198.0,198.0,6.0,0,0,1994,1996
B Arun,India,4,4,1,103,1/43,102.0,103.0,6.05,0,0,1986,1987
Asim Saeed,UAE,2,2,1,40,1/25,54.0,40.0,4.44,0,0,2004,2004
KMC Bandara,Sri Lanka,1,1,1,83,1/83,60.0,83.0,8.3,0,0,2016,2016
Basil Hameed,UAE,3,1,1,10,1/10,12.0,10.0,5.0,0,0,2019,2019
Basit Ali,Pakistan,50,2,1,21,1/17,30.0,21.0,4.2,0,0,1993,1996
RR Beaton,West Indies,2,2,1,102,1/60,102.0,102.0,6.0,0,0,2017,2017
JE Benjamin,England,2,2,1,47,1/22,72.0,47.0,3.91,0,0,1994,1995
K Birkenstock,Namibia,5,1,1,5,1/5,6.0,5.0,5.0,0,0,2019,2019
BR Blair,New Zealand,14,2,1,34,1/7,30.0,34.0,6.8,0,0,1982,1986
GK Bose,India,1,1,1,39,1/39,66.0,39.0,3.54,0,0,1974,1974
BP Bracewell,New Zealand,1,1,1,41,1/41,66.0,41.0,3.72,0,0,1978,1978
KC Brathwaite,West Indies,10,5,1,140,1/56,152.0,140.0,5.52,0,0,2016,2017
VR Brown,New Zealand,3,2,1,75,1/24,66.0,75.0,6.81,0,0,1988,1988
DE Budge,Scotland,3,2,1,26,1/21,36.0,26.0,4.33,0,0,2018,2019
MG Burgess,New Zealand,26,3,1,69,1/10,74.0,69.0,5.59,0,0,1973,1981
RG Callender,Canada,2,2,1,26,1/14,54.0,26.0,2.88,0,0,1979,1979
LOB Cann,Bermuda,26,4,1,129,1/34,100.0,129.0,7.74,0,0,2006,2009
SJ Chalmers,Scotland,2,2,1,49,1/34,60.0,49.0,4.9,0,0,2009,2009
S Chattergoon,West Indies,18,4,1,48,1/1,80.0,48.0,3.6,0,0,2006,2009
MT Chinouya,Zimbabwe,2,2,1,50,1/36,66.0,50.0,4.54,0,0,2013,2013
KJ Coetzer,Scotland,59,7,1,203,1/35,179.0,203.0,6.8,0,0,2008,2019
MJ Cosgrove,Australia,3,2,1,13,1/1,30.0,13.0,2.6,0,0,2006,2006
CJ Dala,South Africa,2,2,1,121,1/57,102.0,121.0,7.11,0,0,2018,2018
Dawlat Ahmadzai,Afghanistan,3,3,1,121,1/40,112.0,121.0,6.48,0,0,2009,2010
TN de Grooth,Netherlands,34,1,1,2,1/2,6.0,2.0,2.0,0,0,2006,2013
BFW de Leede,Netherlands,3,2,1,15,1/3,23.0,15.0,3.91,0,0,2018,2019
JL Denly,England,13,3,1,60,1/24,66.0,60.0,5.45,0,0,2009,2019
R Dhawan,India,3,3,1,160,1/74,150.0,160.0,6.4,0,0,2016,2016
MS Dhoni,India,350,2,1,31,1/14,36.0,31.0,5.16,0,0,2004,2019
PS Eaglestone,Ireland,1,1,1,60,1/60,42.0,60.0,8.57,0,0,2008,2008
GN Edwards,New Zealand,6,1,1,5,1/5,6.0,5.0,5.0,0,0,1976,1981
Faisal Hossain,Bangladesh,6,2,1,53,1/27,73.0,53.0,4.35,0,0,2004,2010
Fakhar Zaman,Pakistan,46,7,1,111,1/19,135.0,111.0,4.93,0,0,2017,2019
