Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
Usman Shinwari,Pakistan,17,17,34,633,5/34,22.5,18.61,4.94,3,2,2017,2019
N Vanua,Papua New Guinea,23,23,34,900,4/24,31.1,26.47,5.09,4,0,2014,2019
KCG Benjamin,West Indies,26,26,33,923,3/34,39.9,27.96,4.19,0,0,1992,1996
U Bhatti,Canada,36,35,33,1149,4/45,49.3,34.81,4.22,1,0,2006,2010
JG Bracewell,New Zealand,53,50,33,1884,2/3,74.1,57.09,4.61,0,0,1983,1990
ST Gabriel,West Indies,25,25,33,1134,3/17,34.7,34.36,5.92,0,0,2016,2019
YK Pathan,India,57,50,33,1365,3/49,45.1,41.36,5.49,0,0,2008,2012
E Schiferli,Netherlands,30,30,33,1008,4/23,39.2,30.54,4.67,3,0,2002,2013
Shabbir Ahmed,Pakistan,32,32,33,1192,3/32,49.7,36.12,4.35,0,0,1999,2005
Sikander Bakht,Pakistan,27,27,33,860,4/34,38.6,26.06,4.04,1,0,1977,1989
EO Simons,South Africa,23,23,33,810,4/42,36.7,24.54,4.0,1,0,1994,1995
MP Stoinis,Australia,41,39,33,1446,3/16,42.8,43.81,6.13,0,0,2015,2019
SD Anurasiri,Sri Lanka,45,43,32,1464,3/40,65.6,45.75,4.18,0,0,1986,1994
RD Berrington,Scotland,78,51,32,1228,4/40,43.5,38.37,5.28,1,0,2008,2019
PP Chawla,India,25,25,32,1117,4/23,41.0,34.9,5.1,2,0,2007,2011
AC Dale,Australia,30,30,32,979,3/18,49.8,30.59,3.68,0,0,1997,2000
DS de Silva,Sri Lanka,41,40,32,1557,3/29,64.8,48.65,4.5,0,0,1975,1985
MJ Hoggard,England,26,26,32,1152,5/49,40.8,36.0,5.29,0,1,2001,2006
AJ Hollioake,England,35,32,32,1019,4/23,37.7,31.84,5.06,2,0,1996,1999
Imran Haider,UAE,20,20,32,841,4/25,29.4,26.28,5.35,2,0,2017,2019
JM Kemp,South Africa,85,48,32,1015,3/20,40.7,31.71,4.67,0,0,2001,2007
KTGD Prasad,Sri Lanka,24,24,32,976,3/17,31.7,30.5,5.76,0,0,2006,2015
S Prasanna,Sri Lanka,40,39,32,1767,3/32,60.7,55.21,5.45,0,0,2011,2019
Rizwan Cheema,Canada,33,32,32,1095,3/25,41.5,34.21,4.93,0,0,2008,2013
GB Troup,New Zealand,22,22,32,791,4/19,36.8,24.71,4.02,3,0,1976,1985
DL Underwood,England,26,24,32,734,4/44,39.9,22.93,3.44,1,0,1973,1982
BV Vitori,Zimbabwe,24,24,32,1149,5/20,37.2,35.9,5.77,0,2,2011,2018
Arshad Ayub,India,32,32,31,1216,5/21,57.0,39.22,4.12,0,1,1987,1990
JW Dernbach,England,24,24,31,1308,4/45,39.8,42.19,6.35,1,0,2011,2013
KS Lokuarachchi,Sri Lanka,21,21,31,725,4/44,32.6,23.38,4.3,1,0,2003,2007
MJ Mason,New Zealand,26,25,31,1024,4/24,38.0,33.03,5.21,1,0,2003,2010
MM Sharma,India,26,25,31,1020,4/22,36.1,32.9,5.45,1,0,2013,2015
Zahoor Khan,UAE,17,17,31,703,6/34,24.1,22.67,5.62,0,1,2017,2019
Abdur Rehman,Pakistan,31,31,30,1142,4/48,54.1,38.06,4.21,1,0,2006,2014
CEH Croft,West Indies,19,19,30,620,6/15,35.6,20.66,3.47,0,1,1977,1981
GA Hick,England,120,47,30,1026,5/33,41.2,34.2,4.98,0,1,1991,2001
RK Illingworth,England,25,25,30,1059,3/33,50.0,35.3,4.23,0,0,1991,1996
AS Joseph,West Indies,22,21,30,1107,5/56,34.4,36.9,6.42,1,1,2016,2019
SI Mahmood,England,26,25,30,1169,4/50,39.9,38.96,5.85,1,0,2004,2009
DA Marillier,Zimbabwe,48,35,30,1235,4/38,52.4,41.16,4.7,1,0,2000,2003
PR Adams,South Africa,24,23,29,815,3/26,38.2,28.1,4.4,0,0,1996,2003
RK Chauhan,India,35,34,29,1216,3/29,56.3,41.93,4.46,0,0,1993,1997
MD Crowe,New Zealand,143,46,29,954,2/9,44.6,32.89,4.41,0,0,1982,1995
TBM de Leede,Netherlands,29,29,29,999,4/35,39.2,34.44,5.26,1,0,1996,2007
Ehsan Khan,Hong Kong,15,15,29,594,4/33,27.8,20.48,4.41,1,0,2016,2018
Hasibul Hossain,Bangladesh,32,32,29,1338,4/56,47.4,46.13,5.83,1,0,1995,2004
BW Hilfenhaus,Australia,25,25,29,1075,5/33,41.9,37.06,5.3,0,1,2007,2012
NM Lyon,Australia,29,29,29,1334,4/44,56.0,46.0,4.92,1,0,2012,2019
Manzoor Elahi,Pakistan,54,49,29,1262,3/22,60.1,43.51,4.34,0,0,1984,1995
BA Murphy,Zimbabwe,31,29,29,1130,3/43,49.0,38.96,4.76,0,0,2000,2003
D Pretorius,South Africa,22,22,29,813,3/5,35.2,28.03,4.77,0,0,2016,2019
FA Rose,West Indies,27,27,29,1046,5/23,45.7,36.06,4.73,0,1,1997,2000
RJ Sidebottom,England,25,25,29,1039,3/19,44.0,35.82,4.88,0,0,2001,2010
CM Wright,Scotland,20,19,29,663,4/29,29.6,22.86,4.62,1,0,2006,2009
Ahmed Raza,UAE,28,28,28,1011,4/37,53.7,36.1,4.03,1,0,2014,2019
IG Butler,New Zealand,26,25,28,1038,4/44,39.6,37.07,5.61,1,0,2002,2010
WW Hinds,West Indies,119,34,28,837,3/24,33.7,29.89,5.31,0,0,1999,2010
BMAJ Mendis,Sri Lanka,58,49,28,1204,3/15,50.1,43.0,5.14,0,0,2010,2019
SPD Smith,Australia,118,39,28,963,3/16,38.2,34.39,5.4,0,0,2010,2019
DT Tiripano,Zimbabwe,31,29,28,1122,5/63,43.5,40.07,5.51,0,1,2014,2019
Ata-ur-Rehman,Pakistan,30,30,27,1186,3/27,55.2,43.92,4.76,0,0,1992,1996
HK Bennett,New Zealand,16,15,27,621,4/16,26.5,23.0,5.18,2,0,2010,2017
TK Curran,England,17,17,27,805,5/35,28.2,29.81,6.33,1,1,2017,2019
PW Gunaratne,Sri Lanka,23,23,27,908,4/44,35.5,33.62,5.68,1,0,2002,2003
KM Jadhav,India,71,42,27,1020,3/23,43.9,37.77,5.15,0,0,2014,2019
AY Karim,Kenya,34,33,27,1114,5/33,58.0,41.25,4.26,0,1,1996,2003
AJ McKay,New Zealand,19,19,27,800,4/53,34.2,29.62,5.18,2,0,2010,2012
PJ Martin,England,20,20,27,806,4/44,38.8,29.85,4.61,1,0,1995,1998
RAP Nissanka,Sri Lanka,23,23,27,857,4/12,36.9,31.74,5.15,1,0,2001,2003
A Vala,Papua New Guinea,27,26,27,648,3/20,38.4,24.0,3.74,0,0,2014,2019
CA Young,Ireland,13,12,27,563,5/46,24.3,20.85,5.14,0,1,2014,2017
PH Edmonds,England,29,27,26,965,3/39,59.0,37.11,3.77,0,0,1977,1987
AP Gurusinha,Sri Lanka,147,55,26,1354,2/25,60.9,52.07,5.12,0,0,1985,1996
LN Onyango,Kenya,29,28,26,981,3/29,38.2,37.73,5.91,0,0,1996,2014
AM Phangiso,South Africa,21,21,26,829,3/40,41.7,31.88,4.58,0,0,2013,2016
DN Crookes,South Africa,32,30,25,1011,3/30,48.8,40.44,4.96,0,0,1994,2000
GD Drummond,Scotland,30,29,25,932,4/41,50.5,37.28,4.42,1,0,2007,2013
LM Jongwe,Zimbabwe,22,22,25,759,5/6,34.5,30.36,5.27,0,1,2014,2016
A Kuruvilla,India,25,25,25,890,4/43,45.2,35.6,4.72,1,0,1997,1997
D Langford-Smith,Ireland,22,21,25,797,3/32,37.6,31.88,5.07,0,0,2006,2008
SW Masakadza,Zimbabwe,16,16,25,891,4/46,31.6,35.64,6.75,3,0,2010,2014
G Miller,England,25,24,25,813,3/27,50.7,32.52,3.84,0,0,1977,1984
CA Soper,Papua New Guinea,20,20,25,733,6/41,36.0,29.32,4.88,0,1,2016,2019
K Srikkanth,India,146,33,25,641,5/27,28.4,25.64,5.4,0,2,1981,1992
AR White,Ireland,61,35,25,688,4/44,34.7,27.52,4.75,1,0,2006,2014
KIW Wijegunawardene,Sri Lanka,26,25,25,986,4/49,47.4,39.44,4.98,1,0,1988,1992
Alok Kapali,Bangladesh,69,49,24,1255,3/49,60.5,52.29,5.18,0,0,2002,2011
Arafat Sunny,Bangladesh,16,16,24,600,4/27,34.5,25.0,4.33,2,0,2014,2015
ID Blackwell,England,34,26,24,877,3/26,51.2,36.54,4.27,0,0,2002,2006
C de Grandhomme,New Zealand,38,38,24,1046,3/26,54.0,43.58,4.84,0,0,2012,2019
Harvinder Singh,India,16,16,24,609,3/44,28.5,25.37,5.32,0,0,1997,2001
RC Irani,England,31,30,24,989,5/26,53.4,41.2,4.62,1,1,1996,2003
PW Jarvis,England,16,16,24,672,5/35,36.6,28.0,4.58,1,1,1988,1993
MBS Jonkman,Netherlands,16,16,24,565,3/24,29.9,23.54,4.71,0,0,2006,2010
JK Lever,England,22,22,24,713,4/29,48.0,29.7,3.71,1,0,1976,1982
Manjural Islam,Bangladesh,34,34,24,1284,3/37,66.2,53.5,4.84,0,0,1999,2003
Mohammad Saifuddin,Bangladesh,20,20,24,909,3/45,38.0,37.87,5.98,0,0,2017,2019
Nasir Hossain,Bangladesh,65,43,24,988,3/26,52.3,41.16,4.71,0,0,2011,2018
MS Panesar,England,26,26,24,980,3/25,54.5,40.83,4.49,0,0,2007,2007
SR Patel,England,36,32,24,1091,5/41,49.4,45.45,5.51,0,1,2008,2013
KR Pushpakumara,Sri Lanka,31,31,24,1181,3/25,59.5,49.2,4.95,0,0,1994,1999
JA Richardson,Australia,12,12,24,632,4/26,27.0,26.33,5.85,1,0,2018,2019
O Thomas,West Indies,19,18,24,825,5/21,29.8,34.37,6.91,1,1,2018,2019
Yasir Shah,Pakistan,25,24,24,1150,6/26,53.8,47.91,5.33,1,1,2011,2019
Aizaz Cheema,Pakistan,14,14,23,593,4/43,28.6,25.78,5.4,2,0,2011,2012
JC Archer,England,14,14,23,569,3/27,32.0,24.73,4.63,0,0,2019,2019
DAJ Bracewell,New Zealand,19,19,23,798,4/55,40.5,34.69,5.13,1,0,2011,2019
NG Cowans,England,23,23,23,913,3/44,55.7,39.69,4.27,0,0,1983,1985
KM Dabengwa,Zimbabwe,37,35,23,936,3/15,48.2,40.69,5.06,0,0,2005,2010
WW Daniel,West Indies,18,18,23,595,3/27,39.6,25.86,3.91,0,0,1978,1984
SR Gillespie,New Zealand,19,19,23,736,4/30,41.8,32.0,4.58,1,0,1986,1988
G Goudie,Scotland,16,16,23,623,5/73,31.6,27.08,5.12,0,1,2008,2013
ND Hirwani,India,18,18,23,719,4/43,41.7,31.26,4.49,3,0,1988,1992
TG Hogan,Australia,16,15,23,574,4/33,39.8,24.95,3.75,1,0,1983,1984
KAD Hurdle,Bermuda,19,19,23,831,3/24,39.3,36.13,5.5,0,0,2006,2007
Manjural Islam Rana,Bangladesh,25,23,23,689,4/34,43.3,29.95,4.15,2,0,2003,2006
S Mukuddem,Bermuda,20,20,23,752,4/40,41.7,32.69,4.7,1,0,2006,2007
BTJ Wheal,Scotland,13,13,23,508,3/34,29.8,22.08,4.43,0,0,2016,2019
DR Brown,England,25,25,22,919,3/37,43.3,41.77,5.78,0,0,1997,2007
DM de Silva,Sri Lanka,42,35,22,899,3/32,46.7,40.86,5.24,0,0,2016,2019
DR Doshi,India,15,15,22,524,4/30,36.0,23.81,3.96,2,0,1980,1982
Farhad Reza,Bangladesh,34,32,22,1017,5/42,51.7,46.22,5.35,0,1,2006,2011
DAS Gunaratne,Sri Lanka,31,25,22,723,3/10,37.9,32.86,5.2,0,0,2016,2019
BP Julian,Australia,25,25,22,997,3/40,52.0,45.31,5.21,0,0,1993,1999
RN Lewis,West Indies,28,25,22,983,3/43,52.2,44.68,5.12,0,0,1997,2009
ML Nkala,Zimbabwe,50,46,22,1570,3/12,71.9,71.36,5.95,0,0,1998,2006
E Otieno,Kenya,26,25,22,927,4/33,43.3,42.13,5.83,1,0,2007,2014
MW Pringle,South Africa,17,17,22,604,4/11,39.5,27.45,4.16,1,0,1992,1994
JE Root,England,143,64,22,1364,3/52,64.2,62.0,5.78,0,0,2013,2019
SK Sharma,India,23,22,22,813,5/26,44.5,36.95,4.98,0,1,1988,1990
Sohag Gazi,Bangladesh,20,19,22,722,4/29,41.7,32.81,4.71,1,0,2012,2014
WF Stelling,Netherlands,15,15,22,567,3/12,31.7,25.77,4.86,0,0,2006,2007
Al-Amin Hossain,Bangladesh,14,14,21,523,4/51,28.7,24.9,5.2,2,0,2014,2015
JT Ball,England,18,18,21,980,5/51,45.0,46.66,6.2,0,1,2016,2018
DH Brain,Zimbabwe,23,23,21,849,3/51,51.9,40.42,4.66,0,0,1992,1995
AC Dawson,South Africa,19,19,21,715,4/49,42.9,34.04,4.76,1,0,1998,2004
RMS Eranga,Sri Lanka,19,17,21,686,3/46,34.0,32.66,5.74,0,0,2011,2016
CN Evans,Zimbabwe,53,34,21,848,3/11,45.9,40.38,5.27,0,0,1992,2002
M Hayward,South Africa,21,21,21,858,4/31,47.2,40.85,5.18,1,0,1998,2002
NB Mahwire,Zimbabwe,23,21,21,775,3/29,42.1,36.9,5.25,0,0,2004,2006
WP Masakadza,Zimbabwe,17,16,21,734,4/21,40.9,34.95,5.12,1,0,2015,2018
Mohsin Kamal,Pakistan,19,19,21,760,4/47,41.9,36.19,5.17,1,0,1984,1989
PP Ojha,India,18,17,21,652,4/38,41.7,31.04,4.46,1,0,2008,2012
AO Suji,Kenya,60,46,21,1175,2/14,61.6,55.95,5.44,0,0,1996,2008
Wasim Raja,Pakistan,54,29,21,687,4/25,49.3,32.71,3.97,1,0,1973,1985
MH Yardy,England,28,28,21,1075,3/24,63.4,51.19,4.84,0,0,2006,2011
Kabir Ali,England,14,13,20,682,4/45,33.6,34.1,6.08,1,0,2003,2006
STR Binny,India,14,12,20,439,6/4,24.5,21.95,5.37,0,1,2014,2015
TS Chisoro,Zimbabwe,18,16,20,556,3/16,38.4,27.8,4.34,0,0,2015,2018
DT Christian,Australia,19,19,20,595,5/31,36.3,29.75,4.91,0,1,2012,2014
Faheem Ashraf,Pakistan,23,22,20,744,5/22,45.1,37.2,4.94,0,1,2017,2019
DR Hadlee,New Zealand,11,11,20,364,4/34,31.4,18.2,3.47,1,0,1973,1976
A Jadeja,India,196,52,20,1094,3/3,62.4,54.7,5.25,0,0,1992,2000
RT Lyons,Scotland,25,23,20,901,3/21,54.6,45.05,4.94,0,0,2006,2010
N Madziva,Zimbabwe,12,12,20,519,4/49,26.0,25.95,5.98,1,0,2014,2016
JO Ngoche,Kenya,17,17,20,569,3/18,43.9,28.45,3.88,0,0,2010,2013
KMA Paul,West Indies,16,16,20,737,3/44,37.0,36.85,5.97,0,0,2018,2019
NO Perry,West Indies,21,21,20,783,3/45,47.3,39.15,4.96,0,0,1999,2000
N Pokana,Papua New Guinea,14,14,20,503,3/25,32.0,25.15,4.7,0,0,2017,2019
Rashid Khan,Pakistan,29,28,20,923,3/47,70.7,46.15,3.91,0,0,1980,1985
DA Reeve,England,29,28,20,820,3/20,57.3,41.0,4.28,0,0,1991,1996
Shoaib Mohammad,Pakistan,63,35,20,725,3/20,45.9,36.25,4.73,0,0,1984,1993
RML Taylor,Scotland,15,15,20,617,3/39,35.6,30.85,5.19,0,0,2013,2016
MHN Walker,Australia,17,17,20,546,4/19,50.3,27.3,3.25,1,0,1974,1981
GG Arnold,England,14,13,19,339,4/27,37.5,17.84,2.84,1,0,1972,1975
PVD Chameera,Sri Lanka,23,23,19,796,3/20,47.1,41.89,5.33,0,0,2015,2019
TM Chappell,Australia,20,14,19,538,3/31,38.7,28.31,4.38,0,0,1980,1983
Enamul Haque,Bangladesh,29,28,19,1083,2/40,65.1,57.0,5.24,0,0,1990,2002
AW Greig,England,22,19,19,619,4/45,48.2,32.57,4.05,1,0,1972,1977
VA Holder,West Indies,12,12,19,454,5/50,35.8,23.89,4.0,0,1,1973,1978
RD Jackman,England,15,15,19,598,3/41,45.9,31.47,4.1,0,0,1974,1983
DS Kulkarni,India,12,12,19,508,4/34,31.4,26.73,5.09,1,0,2014,2016
MA Leask,Scotland,34,31,19,1019,4/37,60.1,53.63,5.35,1,0,2014,2019
BJ McKechnie,New Zealand,14,14,19,495,3/23,43.0,26.05,3.63,0,0,1975,1981
JN Maguire,Australia,23,20,19,769,3/61,53.1,40.47,4.57,0,0,1983,1984
Mohammad Akram,Pakistan,23,21,19,790,2/28,52.0,41.57,4.79,0,0,1995,2000
Mushfiqur Rahman,Bangladesh,28,28,19,983,2/21,70.1,51.73,4.42,0,0,2000,2004
PDRL Perera,Sri Lanka,19,19,19,820,3/23,46.7,43.15,5.54,0,0,1999,2007
Shahid Nazir,Pakistan,17,17,19,649,3/14,42.6,34.15,4.8,0,0,1996,2000
T Shamsi,South Africa,17,17,19,798,4/33,46.2,42.0,5.44,1,0,2016,2019
M Sheikh,Kenya,21,21,19,625,4/36,40.9,32.89,4.82,1,0,1997,2000
Sohail Khan,Pakistan,13,13,19,597,5/55,35.0,31.42,5.37,0,1,2008,2016
Tanwir Afzal,Hong Kong,20,19,19,601,3/20,44.8,31.63,4.23,0,0,2014,2018
AJ Traicos,Zimbabwe,27,26,19,987,3/35,80.2,51.94,3.88,0,0,1983,1993
PCR Tufnell,England,20,20,19,699,4/22,53.6,36.78,4.11,1,0,1990,1997
Anwar Ali,Pakistan,22,22,18,944,3/66,51.5,52.44,6.11,0,0,2013,2016
GD Campbell,Australia,12,12,18,404,3/17,34.0,22.44,3.95,0,0,1989,1990
RO Collinge,New Zealand,15,15,18,479,5/23,47.7,26.61,3.34,0,1,1973,1978
MD Dai,Papua New Guinea,18,18,18,675,3/58,53.0,37.5,4.24,0,0,2014,2018
DR Gilbert,Australia,14,14,18,552,5/46,38.0,30.66,4.84,0,1,1986,1986
DJ Hussey,Australia,69,39,18,698,4/21,44.5,38.77,5.22,2,0,2008,2013
BD Julien,West Indies,12,12,18,463,4/20,43.2,25.72,3.57,2,0,1973,1977
AP Kuiper,South Africa,25,19,18,518,3/33,32.6,28.77,5.28,0,0,1991,1996
J Lewis,England,13,13,18,500,4/36,39.7,27.77,4.18,1,0,2005,2007
CS Martin,New Zealand,20,19,18,804,3/62,52.6,44.66,5.08,0,0,2001,2008
Mohammad Ashraful,Bangladesh,177,40,18,661,3/26,38.7,36.72,5.69,0,0,2001,2013
B Muzarabani,Zimbabwe,18,18,18,733,4/47,43.6,40.72,5.59,1,0,2018,2018
MV Nagamootoo,West Indies,24,24,18,998,4/32,66.0,55.44,5.03,1,0,2000,2002
AH Omarshah,Zimbabwe,28,25,18,812,3/33,59.8,45.11,4.52,0,0,1983,1996
Rahat Ali,Pakistan,14,14,18,658,3/40,37.7,36.55,5.81,0,0,2012,2016
KT Sandher,Canada,15,15,18,569,3/24,38.6,31.61,4.9,0,0,2006,2007
GC Smith,South Africa,197,43,18,951,3/30,57.0,52.83,5.56,0,0,2002,2013
CB Sole,Scotland,11,11,18,468,4/28,29.0,26.0,5.37,2,0,2016,2018
RE van der Merwe,South Africa,15,15,18,658,3/27,43.8,36.55,5.0,0,0,2009,2019
KC Wessels,Australia,109,23,18,666,2/16,41.6,37.0,5.33,0,0,1983,1994
AG Wharf,England,13,13,18,428,4/24,32.4,23.77,4.39,1,0,2004,2005
LR Williams,West Indies,15,15,18,556,3/16,36.6,30.88,5.06,0,0,1996,2001
Adeel Raja,Netherlands,21,21,17,690,4/42,49.7,40.58,4.89,1,0,2002,2011
DJ Capel,England,23,22,17,805,3/38,61.0,47.35,4.65,0,0,1987,1990
EAR de Silva,Sri Lanka,28,28,17,967,3/38,80.8,56.88,4.22,0,0,1986,1992
MV Fleming,England,11,11,17,434,4/45,30.7,25.52,4.97,1,0,1997,1998
HH Kanitkar,India,34,28,17,803,2/22,59.1,47.23,4.78,0,0,1997,2000
JJC Lawson,West Indies,13,12,17,498,4/57,32.8,29.29,5.35,1,0,2001,2005
Mohammad Nawaz,Pakistan,15,15,17,607,4/42,41.1,35.7,5.21,1,0,2016,2019
J Nyumbu,Zimbabwe,19,18,17,738,3/42,49.6,43.41,5.24,0,0,2014,2015
PADLR Sandakan,Sri Lanka,21,20,17,1031,4/52,56.5,60.64,6.43,1,0,2016,2019
A Shahzad,England,11,11,17,490,3/41,34.5,28.82,5.0,0,0,2010,2011
PM Siddle,Australia,20,19,17,743,3/55,53.0,43.7,4.94,0,0,2009,2019
J Theron,South Africa,9,9,17,379,5/44,24.2,22.29,5.51,0,1,2010,2019
Aizaz Khan,Hong Kong,19,19,16,680,2/26,45.5,42.5,5.6,0,0,2014,2018
Asif Iqbal,Pakistan,10,10,16,378,4/56,37.0,23.62,3.83,1,0,1973,1979
JP Behrendorff,Australia,11,11,16,517,5/44,36.9,32.31,5.24,0,1,2019,2019
SM Boland,Australia,14,13,16,725,3/67,44.7,45.31,6.07,0,0,2016,2016
GR Codrington,Canada,17,17,16,577,4/33,45.6,36.06,4.73,1,0,2006,2007
CD de Lange,Scotland,13,12,16,371,5/60,34.1,23.18,4.07,0,1,2016,2017
Ehsan Nawaz,Hong Kong,12,12,16,458,4/47,32.0,28.62,5.35,2,0,2014,2018
GJ Gilmour,Australia,5,5,16,165,6/14,20.0,10.31,3.09,0,2,1974,1975
PJC Hoffmann,Scotland,18,17,16,555,3/22,46.4,34.68,4.48,0,0,2006,2007
SHU Karnain,Sri Lanka,19,14,16,505,5/26,39.6,31.56,4.77,0,1,1984,1990
DE Malcolm,England,10,10,16,404,3/40,32.8,25.25,4.6,0,0,1990,1994
S Matsikenyeri,Zimbabwe,113,38,16,778,2/25,57.5,48.62,5.07,0,0,2002,2015
JL Pattinson,Australia,15,15,16,681,4/51,45.4,42.56,5.62,1,0,2011,2015
BS Sandhu,India,22,21,16,763,3/27,69.3,47.68,4.12,0,0,1982,1984
RR Sarwan,West Indies,181,25,16,586,3/31,36.3,36.62,6.05,0,0,2000,2013
MC Sorensen,Ireland,13,12,16,520,4/40,33.9,32.5,5.74,1,0,2013,2016
RJW Topley,England,10,10,16,410,4/50,28.9,25.62,5.31,1,0,2015,2016
RJ Trott,Bermuda,11,11,16,412,4/46,33.5,25.75,4.6,1,0,2007,2009
MP Vaughan,England,86,28,16,649,4/22,49.7,40.56,4.89,1,0,2001,2007
R Vijay Bharadwaj,India,10,9,16,307,3/34,23.2,19.18,4.95,0,0,1999,2002
Zakir Khan,Pakistan,17,16,16,494,4/19,40.3,30.87,4.58,1,0,1984,1990
MR Adair,Ireland,9,9,15,509,4/19,32.2,33.93,6.3,2,0,2019,2019
KK Ahmed,India,11,11,15,465,3/13,32.0,31.0,5.81,0,0,2018,2019
PJW Allott,England,13,13,15,552,3/41,54.6,36.8,4.04,0,0,1982,1985
CJA Amini,Papua New Guinea,15,15,15,560,4/27,48.8,37.33,4.59,1,0,2014,2019
Azeem Hafeez,Pakistan,15,14,15,586,4/22,47.9,39.06,4.89,1,0,1983,1985
SL Boock,New Zealand,14,13,15,513,3/28,46.6,34.2,4.39,0,0,1978,1987
DCC Borden,Bermuda,12,12,15,392,4/30,27.4,26.13,5.72,1,0,2006,2008
Danish Kaneria,Pakistan,18,18,15,683,3/31,56.9,45.53,4.79,0,0,2001,2007
G Dymock,Australia,15,14,15,412,2/21,53.7,27.46,3.06,0,0,1974,1980
TCB Fernando,Sri Lanka,17,17,15,586,5/67,46.6,39.06,5.02,0,1,2001,2003
KD Ghavri,India,19,19,15,708,3/40,68.8,47.2,4.11,0,0,1975,1981
S Lamichhane,Nepal,6,6,15,222,4/24,21.2,14.8,4.17,2,0,2018,2019
NC McGarrell,West Indies,17,17,15,681,3/32,57.2,45.4,4.75,0,0,1998,2001
KH MacLeay,Australia,16,16,15,626,6/39,57.1,41.73,4.38,0,1,1983,1987
GH O'Brien,Bermuda,9,9,15,405,3/31,30.4,27.0,5.32,0,0,2006,2008
SS Pathirana,Sri Lanka,18,18,15,720,3/37,51.0,48.0,5.64,0,0,2015,2017
SM Patil,India,45,20,15,589,2/28,57.6,39.26,4.09,0,0,1980,1986
Rajin Saleh,Bangladesh,43,19,15,459,4/16,35.9,30.6,5.1,1,0,2003,2006
AK Sharma,India,31,29,15,875,3/41,76.0,58.33,4.6,0,0,1988,1993
L Sivaramakrishnan,India,16,16,15,538,3/35,50.4,35.86,4.26,0,0,1985,1987
CT Tremlett,England,15,15,15,705,4/32,52.2,47.0,5.39,1,0,2005,2011
JTC Vaughan,New Zealand,18,17,15,524,4/33,46.4,34.93,4.51,1,0,1992,1996
UWMBCA Welegedara,Sri Lanka,10,9,15,433,5/66,30.4,28.86,5.68,0,1,2009,2010
LJ Wright,England,50,37,15,884,2/34,69.2,58.93,5.1,0,0,2007,2014
JO Angara,Kenya,17,15,14,569,3/30,42.0,40.64,5.8,0,0,1997,2003
Anshuman Rath,Hong Kong,18,7,14,167,3/22,24.0,11.92,2.97,0,0,2014,2018
F Behardien,South Africa,59,35,14,719,3/19,53.4,51.35,5.76,0,0,2013,2018
DE Bernard,West Indies,20,17,14,526,3/32,44.5,37.57,5.05,0,0,2003,2010
GS Blewett,Australia,32,24,14,646,2/6,53.5,46.14,5.17,0,0,1995,1999
S Chanderpaul,West Indies,268,28,14,636,3/18,52.8,45.42,5.15,0,0,1994,2011
GJ Cosier,Australia,9,8,14,248,5/18,29.2,17.71,3.63,0,1,1975,1979
JWM Dalrymple,England,27,23,14,666,2/5,60.0,47.57,4.75,0,0,2006,2007
Enamul Haque jnr,Bangladesh,10,10,14,422,3/16,41.1,30.14,4.39,0,0,2005,2009
UC Hathurusingha,Sri Lanka,35,25,14,709,4/57,68.1,50.64,4.45,1,0,1992,1999
Jalal-ud-Din,Pakistan,8,7,14,211,4/32,21.8,15.07,4.13,1,0,1982,1983
SKW Kelly,Bermuda,10,10,14,371,3/36,27.7,26.5,5.72,0,0,2006,2009
D Mongia,India,57,21,14,571,3/31,45.7,40.78,5.35,0,0,2001,2007
Mosaddek Hossain,Bangladesh,35,33,14,787,3/13,64.4,56.21,5.23,0,0,2016,2019
A Nao,Papua New Guinea,13,13,14,495,3/40,43.7,35.35,4.84,0,0,2017,2019
JD Nel,Scotland,19,19,14,649,4/25,52.1,46.35,5.33,1,0,2006,2010
IE O'Brien,New Zealand,10,10,14,488,3/68,32.3,34.85,6.46,0,0,2008,2009
Rahmat Shah,Afghanistan,73,26,14,504,5/32,37.4,36.0,5.77,0,1,2013,2019
Rumman Raees,Pakistan,9,9,14,464,3/49,33.0,33.14,6.01,0,0,2017,2018
JA Snow,England,9,8,14,232,4/11,38.4,16.57,2.58,2,0,1971,1975
Sohrawordi Shuvo,Bangladesh,17,17,14,572,3/14,54.4,40.85,4.5,0,0,2010,2011
SA Ankola,India,20,20,13,615,3/33,62.0,47.3,4.57,0,0,1989,1997
MP Bicknell,England,7,7,13,347,3/55,31.7,26.69,5.04,0,0,1990,1991
KD Boyce,West Indies,8,8,13,313,4/50,36.1,24.07,3.99,1,0,1973,1975
ST Clarke,West Indies,10,10,13,245,3/22,40.3,18.84,2.8,0,0,1978,1982
PC Connell,Ireland,13,12,13,518,3/68,43.3,39.84,5.51,0,0,2008,2010
TLW Cooper,Netherlands,23,19,13,438,3/11,42.5,33.69,4.75,0,0,2010,2013
PWH de Silva,Sri Lanka,12,12,13,429,3/15,31.0,33.0,6.38,0,0,2017,2019
Hamza Tahir,Scotland,6,6,13,228,5/38,26.0,17.53,4.04,1,1,2019,2019
MN Hart,New Zealand,13,12,13,373,5/22,44.0,28.69,3.91,0,1,1994,2002
RS Higgins,Zimbabwe,11,11,13,380,4/21,41.8,29.23,4.19,1,0,2006,2006
